"Freq [GHz]","re(St(FloquetPort1:1,FloquetPort1:1)) []","im(St(FloquetPort1:1,FloquetPort1:1)) []","re(St(FloquetPort2:1,FloquetPort1:1)) []","im(St(FloquetPort2:1,FloquetPort1:1)) []"
5.3325,0.359889826783485,0.101243422859489,0.0767542034478252,0.90265046151144
5.34,0.361907102679257,0.0980776263474639,0.08372958479095,0.901578313440041
5.3475,0.363891812475371,0.0948887576142451,0.0906894505878228,0.900452421024677
5.355,0.365843759599788,0.0916771775431853,0.0976334079700482,0.899272997820755
5.3625,0.367762751423375,0.0884432479726626,0.104561066753777,0.898040259766661
5.37,0.369648599252142,0.0851873316575989,0.111472039445232,0.896754425154595
5.3775,0.371501118319205,0.0819097922312898,0.118365941245987,0.895415714601556
5.385,0.373320127776475,0.0786109941675421,0.125242390058031,0.894024351020488
5.3925,0.375105450686103,0.0752913027431174,0.13210100648859,0.892580559591575
5.4,0.376856914011657,0.0719510840004827,0.138941413854742,0.89108456773369
5.4075,0.378574348609056,0.0685907047108704,0.145763238187801,0.889536605076008
5.415,0.380257589217258,0.0652105323376409,0.152566108237486,0.887936903429763
