"Freq [GHz]","mag(St(FloquetPort1:1,FloquetPort1:1)) []","mag(St(FloquetPort2:1,FloquetPort1:1)) []"
5.3175,0.371646625786404,0.906806989891766
5.325,0.372754598637102,0.906357551150067
5.3325,0.373859489774638,0.905907866956528
5.34,0.374961293681957,0.90545794967776
5.3475,0.376060005196226,0.905007811555858
5.355,0.377155619499951,0.904557464709331
5.3625,0.378248132112301,0.904106921134032
5.37,0.379337538880629,0.903656192704076
5.3775,0.380423835972186,0.903205291172756
5.385,0.381507019866022,0.902754228173457
5.3925,0.382587087345065,0.902303015220556
5.4,0.383664035488386,0.901851663710331
5.4075,0.384737861663633,0.901400184921849
5.415,0.385808563519629,0.900948590017859
5.4225,0.386876138979143,0.900496890045677
5.43,0.387940586231819,0.900045095938063
5.4375,0.389001903727255,0.899593218514098
5.445,0.390060090168245,0.899141268480049
5.4525,0.391115144504159,0.898689256430234
5.46,0.392167065924477,0.898237192847877
5.4675,0.393215853852455,0.897785088105961
5.475,0.394261507938937,0.897332952468075
5.4825,0.395304028056295,0.896880796089251
5.49,0.396343414292503,0.8964286290168
5.4975,0.397379666945336,0.895976461191141
5.505,0.398412786516699,0.895524302446625
5.5125,0.399442773707065,0.895072162512349
5.52,0.400469629410047,0.894620051012972
5.5275,0.401493354707073,0.894167977469514
5.535,0.402513950862175,0.893715951300163
5.5425,0.403531419316898,0.893263981821064
5.55,0.404545761685299,0.892812078247108
5.5575,0.405556979749065,0.892360249692713
5.565,0.406565075452724,0.891908505172604
5.5725,0.407570050898958,0.891456853602579
5.58,0.408571908344013,0.891005303800275
5.5875,0.409570650193203,0.890553864485925
5.595,0.410566278996506,0.890102544283113
5.6025,0.411558797444247,0.889651351719515
5.61,0.412548208362875,0.889200295227647
5.6175,0.41353451471082,0.888749383145592
5.625,0.414517719574433,0.888298623717734
5.6325,0.415497826164012,0.887848025095473
5.64,0.416474837809903,0.887397595337951
5.6475,0.417448757958681,0.886947342412755
5.655,0.418419590169405,0.886497274196623
5.6625,0.419387338109948,0.886047398476144
5.67,0.420352005553399,0.885597722948447
5.6775,0.421313596374531,0.885148255221891
5.685,0.422272114546347,0.884699002816745
5.6925,0.423227564136683,0.884249973165857
5.7,0.424179949304882,0.883801173615327
5.7075,0.42512927429853,0.883352611425169
5.715,0.426075543450256,0.882904293769967
5.7225,0.427018761174589,0.882456227739522
5.73,0.427958931964877,0.882008420339503
5.7375,0.428896060390267,0.881560878492076
5.745,0.429830151092736,0.881113609036546
5.7525,0.430761208784177,0.880666618729977
5.76,0.431689238243548,0.880219914247815
5.7675,0.432614244314061,0.879773502184502
5.775,0.433536231900432,0.879327389054083
5.7825,0.434455205966178,0.878881581290813
5.79,0.435371171530961,0.878436085249749
5.7975,0.436284133667985,0.877990907207346
5.805,0.437194097501436,0.877546053362036
5.8125,0.438101068203967,0.877101529834812
5.82,0.439005050994232,0.8766573426698
5.8275,0.439906051134458,0.876213497834826
5.835,0.440804073928067,0.875770001221981
5.8425,0.441699124717333,0.87532685864817
5.85,0.442591208881083,0.874884075855671
5.8575,0.443480331832434,0.874441658512672
5.865,0.44436649901658,0.873999612213816
5.8725,0.445249715908599,0.873557942480728
5.88,0.446129988011317,0.873116654762549
5.8875,0.447007320853192,0.872675754436453
5.895,0.447881719986242,0.872235246808162
5.9025,0.448753190984008,0.871795137112464
5.91,0.449621739439548,0.87135543051371
5.9175,0.450487370963462,0.870916132106315
5.925,0.451350091181959,0.870477246915255
5.9325,0.452209905734943,0.870038779896554
5.94,0.453066820274141,0.869600735937763
5.9475,0.453920840461255,0.869163119858442
5.955,0.454771971966145,0.868725936410632
5.9625,0.455620220465045,0.868289190279314
5.97,0.4564655916388,0.867852886082881
5.9775,0.457308091171138,0.867417028373582
5.985,0.458147724746964,0.866981621637983
5.9925,0.458984498050684,0.866546670297403
6,0.459818416764557,0.866112178708359
